AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4003587|2009
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16240931|2009
10-14|0.4|1.3|0.8|16|VIII(d) Other specified malignant bone tumors|20660564|2009
15-19|0.5|1.3|0.8|18|VIII(d) Other specified malignant bone tumors|22192810|2009
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20182499|2009
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4003587|2009
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16240931|2009
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20660564|2009
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|22192810|2009
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20182499|2009
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4003587|2009
1-4|2.4|4.2|3.2|52|X Germ cell, trophoblastic tumors & neoplasms of gonads|16240931|2009
10-14|6.1|8.4|7.2|148|X Germ cell, trophoblastic tumors & neoplasms of gonads|20660564|2009
15-19|27.5|32.1|29.7|659|X Germ cell, trophoblastic tumors & neoplasms of gonads|22192810|2009
5-9|2.0|3.5|2.7|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|20182499|2009
<1|15.8|24.9|20.0|80|X Germ cell, trophoblastic tumors & neoplasms of gonads|4003587|2009
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16240931|2009
10-14|1.7|3.0|2.3|47|X(a) Intracranial & intraspinal germ cell tumors|20660564|2009
15-19|1.9|3.3|2.6|57|X(a) Intracranial & intraspinal germ cell tumors|22192810|2009
5-9|0.9|1.9|1.3|27|X(a) Intracranial & intraspinal germ cell tumors|20182499|2009
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4003587|2009
1-4|0.8|2.1|1.4|22|X(b) Malignant extracranial & extragonadal germ cell tumors|16240931|2009
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20660564|2009
15-19|1.4|2.6|1.9|42|X(b) Malignant extracranial & extragonadal germ cell tumors|22192810|2009
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20182499|2009
<1|7.6|14.2|10.5|42|X(b) Malignant extracranial & extragonadal germ cell tumors|4003587|2009
1-4|1.1|2.5|1.7|28|X(c) Malignant gonadal germ cell tumors|16240931|2009
10-14|3.2|5.0|4.0|83|X(c) Malignant gonadal germ cell tumors|20660564|2009
15-19|20.3|24.3|22.3|494|X(c) Malignant gonadal germ cell tumors|22192810|2009
5-9|0.6|1.6|1.0|21|X(c) Malignant gonadal germ cell tumors|20182499|2009
<1|4.6|10.1|7.0|28|X(c) Malignant gonadal germ cell tumors|4003587|2009
1-4|~|~|~|~|X(d) Gonadal carcinomas|16240931|2009
10-14|~|~|~|~|X(d) Gonadal carcinomas|20660564|2009
15-19|1.5|2.7|2.0|45|X(d) Gonadal carcinomas|22192810|2009
5-9|~|~|~|~|X(d) Gonadal carcinomas|20182499|2009
<1|~|~|~|~|X(d) Gonadal carcinomas|4003587|2009
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16240931|2009
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20660564|2009
15-19|0.6|1.4|0.9|21|X(e) Other and unspecified malignant gonadal tumors|22192810|2009
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20182499|2009
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4003587|2009
1-4|0.8|2.1|1.4|22|XI Other malignant epithelial neoplasms and malignant melanomas|16240931|2009
10-14|13.7|17.1|15.3|316|XI Other malignant epithelial neoplasms and malignant melanomas|20660564|2009
15-19|48.3|54.3|51.2|1136|XI Other malignant epithelial neoplasms and malignant melanomas|22192810|2009
5-9|3.0|4.8|3.8|77|XI Other malignant epithelial neoplasms and malignant melanomas|20182499|2009
<1|3.2|8.0|5.2|21|XI Other malignant epithelial neoplasms and malignant melanomas|4003587|2009
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16240931|2009
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20660564|2009
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|22192810|2009
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20182499|2009
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4003587|2009
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16240931|2009
10-14|6.0|8.4|7.1|147|XI(b) Thyroid carcinomas|20660564|2009
15-19|22.3|26.5|24.3|540|XI(b) Thyroid carcinomas|22192810|2009
5-9|0.9|2.0|1.4|28|XI(b) Thyroid carcinomas|20182499|2009
<1|~|~|~|~|XI(b) Thyroid carcinomas|4003587|2009
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16240931|2009
10-14|0.7|1.6|1.1|22|XI(c) Nasopharyngeal carcinomas|20660564|2009
15-19|1.1|2.1|1.5|34|XI(c) Nasopharyngeal carcinomas|22192810|2009
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20182499|2009
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4003587|2009
1-4|~|~|~|~|XI(d) Malignant melanomas|16240931|2009
10-14|1.7|3.1|2.3|48|XI(d) Malignant melanomas|20660564|2009
15-19|11.3|14.3|12.7|282|XI(d) Malignant melanomas|22192810|2009
5-9|0.8|1.9|1.3|26|XI(d) Malignant melanomas|20182499|2009
<1|~|~|~|~|XI(d) Malignant melanomas|4003587|2009
1-4|~|~|~|~|XI(e) Skin carcinomas|16240931|2009
10-14|~|~|~|~|XI(e) Skin carcinomas|20660564|2009
15-19|~|~|~|~|XI(e) Skin carcinomas|22192810|2009
5-9|~|~|~|~|XI(e) Skin carcinomas|20182499|2009
<1|~|~|~|~|XI(e) Skin carcinomas|4003587|2009
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|16240931|2009
10-14|3.4|5.2|4.3|88|XI(f) Other and unspecified carcinomas|20660564|2009
15-19|10.8|13.7|12.2|270|XI(f) Other and unspecified carcinomas|22192810|2009
5-9|0.6|1.5|1.0|20|XI(f) Other and unspecified carcinomas|20182499|2009
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4003587|2009
1-4|0.6|1.7|1.0|17|XII Other and unspecified malignant neoplasms|16240931|2009
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20660564|2009
15-19|0.8|1.8|1.2|27|XII Other and unspecified malignant neoplasms|22192810|2009
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20182499|2009
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4003587|2009
1-4|~|~|~|~|XII(a) Other specified malignant tumors|16240931|2009
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20660564|2009
15-19|~|~|~|~|XII(a) Other specified malignant tumors|22192810|2009
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20182499|2009
<1|~|~|~|~|XII(a) Other specified malignant tumors|4003587|2009
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|16240931|2009
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20660564|2009
15-19|0.4|1.2|0.8|17|XII(b) Other unspecified malignant tumors|22192810|2009
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20182499|2009
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4003587|2009
1-4|226.9|241.9|234.3|3805|All ICCC Groups Combined|16237319|2010
10-14|136.8|147.1|141.9|2935|All ICCC Groups Combined|20680725|2010
15-19|210.1|222.5|216.2|4753|All ICCC Groups Combined|21981324|2010
5-9|127.5|137.6|132.5|2694|All ICCC Groups Combined|20331148|2010
<1|250.1|282.6|266.0|1051|All ICCC Groups Combined|3951454|2010
1-4|89.1|98.6|93.8|1523|I Leukemias, myeloproliferative & myelodysplastic diseases|16237319|2010
10-14|32.2|37.4|34.7|718|I Leukemias, myeloproliferative & myelodysplastic diseases|20680725|2010
15-19|31.1|35.9|33.4|735|I Leukemias, myeloproliferative & myelodysplastic diseases|21981324|2010
5-9|41.6|47.4|44.4|903|I Leukemias, myeloproliferative & myelodysplastic diseases|20331148|2010
<1|44.5|58.9|51.4|203|I Leukemias, myeloproliferative & myelodysplastic diseases|3951454|2010
1-4|72.7|81.2|76.9|1248|I(a) Lymphoid leukemias|16237319|2010
10-14|20.3|24.5|22.3|462|I(a) Lymphoid leukemias|20680725|2010
15-19|14.1|17.4|15.7|345|I(a) Lymphoid leukemias|21981324|2010
5-9|34.5|39.9|37.1|755|I(a) Lymphoid leukemias|20331148|2010
<1|12.0|20.1|15.7|62|I(a) Lymphoid leukemias|3951454|2010
1-4|8.7|11.8|10.2|165|I(b) Acute myeloid leukemias|16237319|2010
10-14|6.2|8.6|7.3|151|I(b) Acute myeloid leukemias|20680725|2010
15-19|8.9|11.6|10.2|224|I(b) Acute myeloid leukemias|21981324|2010
5-9|3.2|5.0|4.0|81|I(b) Acute myeloid leukemias|20331148|2010
<1|15.8|24.9|20.0|79|I(b) Acute myeloid leukemias|3951454|2010
1-4|1.1|2.4|1.7|27|I(c) Chronic myeloproliferative diseases|16237319|2010
10-14|2.0|3.4|2.6|54|I(c) Chronic myeloproliferative diseases|20680725|2010
15-19|3.9|5.8|4.8|106|I(c) Chronic myeloproliferative diseases|21981324|2010
5-9|0.8|1.9|1.3|26|I(c) Chronic myeloproliferative diseases|20331148|2010
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3951454|2010
1-4|1.6|3.1|2.3|37|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16237319|2010
10-14|0.7|1.7|1.2|24|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20680725|2010
15-19|1.0|2.1|1.5|32|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21981324|2010
5-9|0.7|1.7|1.1|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20331148|2010
<1|6.0|12.0|8.6|34|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3951454|2010
1-4|2.1|3.8|2.8|46|I(e) Unspecified and other specified leukemias|16237319|2010
10-14|0.9|1.9|1.3|27|I(e) Unspecified and other specified leukemias|20680725|2010
15-19|0.8|1.8|1.3|28|I(e) Unspecified and other specified leukemias|21981324|2010
5-9|0.5|1.4|0.9|18|I(e) Unspecified and other specified leukemias|20331148|2010
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3951454|2010
1-4|13.8|17.7|15.6|254|II Lymphomas and reticuloendothelial neoplasms|16237319|2010
10-14|22.9|27.2|25.0|517|II Lymphomas and reticuloendothelial neoplasms|20680725|2010
15-19|47.0|52.9|49.9|1096|II Lymphomas and reticuloendothelial neoplasms|21981324|2010
5-9|16.8|20.6|18.6|379|II Lymphomas and reticuloendothelial neoplasms|20331148|2010
<1|14.0|22.7|18.0|71|II Lymphomas and reticuloendothelial neoplasms|3951454|2010
1-4|~|~|~|~|II(a) Hodgkin lymphomas|16237319|2010
10-14|9.8|12.8|11.2|232|II(a) Hodgkin lymphomas|20680725|2010
15-19|29.9|34.7|32.3|709|II(a) Hodgkin lymphomas|21981324|2010
5-9|3.0|4.7|3.8|77|II(a) Hodgkin lymphomas|20331148|2010
<1|~|~|~|~|II(a) Hodgkin lymphomas|3951454|2010
1-4|3.9|6.1|4.9|80|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|16237319|2010
10-14|7.6|10.2|8.8|183|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20680725|2010
15-19|11.7|14.8|13.1|289|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21981324|2010
5-9|6.9|9.4|8.1|164|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20331148|2010
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3951454|2010
1-4|1.5|2.9|2.1|34|II(c) Burkitt lymphoma|16237319|2010
10-14|1.8|3.2|2.4|50|II(c) Burkitt lymphoma|20680725|2010
15-19|1.8|3.1|2.4|52|II(c) Burkitt lymphoma|21981324|2010
5-9|2.5|4.1|3.2|65|II(c) Burkitt lymphoma|20331148|2010
<1|~|~|~|~|II(c) Burkitt lymphoma|3951454|2010
1-4|6.4|9.2|7.7|125|II(d) Miscellaneous lymphoreticular neoplasms|16237319|2010
10-14|1.6|3.0|2.2|46|II(d) Miscellaneous lymphoreticular neoplasms|20680725|2010
15-19|0.8|1.8|1.2|27|II(d) Miscellaneous lymphoreticular neoplasms|21981324|2010
5-9|2.7|4.4|3.5|71|II(d) Miscellaneous lymphoreticular neoplasms|20331148|2010
<1|11.4|19.3|14.9|59|II(d) Miscellaneous lymphoreticular neoplasms|3951454|2010
1-4|~|~|~|~|II(e) Unspecified lymphomas|16237319|2010
10-14|~|~|~|~|II(e) Unspecified lymphomas|20680725|2010
15-19|0.5|1.3|0.9|19|II(e) Unspecified lymphomas|21981324|2010
5-9|~|~|~|~|II(e) Unspecified lymphomas|20331148|2010
<1|~|~|~|~|II(e) Unspecified lymphomas|3951454|2010
1-4|44.6|51.4|47.9|778|III CNS and misc intracranial and intraspinal neoplasms|16237319|2010
10-14|26.1|30.7|28.3|586|III CNS and misc intracranial and intraspinal neoplasms|20680725|2010
15-19|18.8|22.6|20.6|453|III CNS and misc intracranial and intraspinal neoplasms|21981324|2010
5-9|34.2|39.5|36.7|747|III CNS and misc intracranial and intraspinal neoplasms|20331148|2010
<1|28.4|40.2|33.9|134|III CNS and misc intracranial and intraspinal neoplasms|3951454|2010
1-4|6.0|8.7|7.3|118|III(a) Ependymomas and choroid plexus tumor|16237319|2010
10-14|0.9|1.9|1.3|27|III(a) Ependymomas and choroid plexus tumor|20680725|2010
15-19|1.1|2.2|1.5|34|III(a) Ependymomas and choroid plexus tumor|21981324|2010
5-9|1.5|2.8|2.1|42|III(a) Ependymomas and choroid plexus tumor|20331148|2010
<1|2.5|6.9|4.3|17|III(a) Ependymomas and choroid plexus tumor|3951454|2010
1-4|21.2|26.0|23.5|382|III(b) Astrocytomas|16237319|2010
10-14|14.1|17.5|15.7|325|III(b) Astrocytomas|20680725|2010
15-19|10.6|13.5|12.0|264|III(b) Astrocytomas|21981324|2010
5-9|17.1|21.0|19.0|386|III(b) Astrocytomas|20331148|2010
<1|10.7|18.4|14.2|56|III(b) Astrocytomas|3951454|2010
1-4|9.5|12.8|11.0|179|III(c) Intracranial and intraspinal embryonal tumors|16237319|2010
10-14|3.8|5.7|4.6|96|III(c) Intracranial and intraspinal embryonal tumors|20680725|2010
15-19|1.6|2.8|2.1|47|III(c) Intracranial and intraspinal embryonal tumors|21981324|2010
5-9|5.6|7.9|6.6|135|III(c) Intracranial and intraspinal embryonal tumors|20331148|2010
<1|8.1|14.9|11.1|44|III(c) Intracranial and intraspinal embryonal tumors|3951454|2010
1-4|4.3|6.6|5.4|87|III(d) Other gliomas|16237319|2010
10-14|4.5|6.6|5.5|114|III(d) Other gliomas|20680725|2010
15-19|3.4|5.1|4.2|92|III(d) Other gliomas|21981324|2010
5-9|6.8|9.3|8.0|163|III(d) Other gliomas|20331148|2010
<1|~|~|~|~|III(d) Other gliomas|3951454|2010
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|16237319|2010
10-14|0.4|1.3|0.8|16|III(e) Other specified intracranial & intraspinal neoplasms|20680725|2010
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21981324|2010
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20331148|2010
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3951454|2010
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|16237319|2010
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20680725|2010
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21981324|2010
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20331148|2010
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3951454|2010
1-4|19.8|24.5|22.0|358|IV Neuroblastoma and other peripheral nervous cell tumors|16237319|2010
10-14|0.9|2.0|1.4|29|IV Neuroblastoma and other peripheral nervous cell tumors|20680725|2010
15-19|0.5|1.3|0.8|18|IV Neuroblastoma and other peripheral nervous cell tumors|21981324|2010
5-9|2.6|4.2|3.3|68|IV Neuroblastoma and other peripheral nervous cell tumors|20331148|2010
<1|53.3|68.9|60.7|240|IV Neuroblastoma and other peripheral nervous cell tumors|3951454|2010
1-4|19.6|24.3|21.9|355|IV(a) Neuroblastoma and ganglioneuroblastoma|16237319|2010
10-14|0.8|1.8|1.2|25|IV(a) Neuroblastoma and ganglioneuroblastoma|20680725|2010
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21981324|2010
5-9|2.5|4.1|3.2|66|IV(a) Neuroblastoma and ganglioneuroblastoma|20331148|2010
<1|53.1|68.7|60.5|239|IV(a) Neuroblastoma and ganglioneuroblastoma|3951454|2010
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|16237319|2010
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20680725|2010
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21981324|2010
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20331148|2010
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3951454|2010
1-4|9.9|13.2|11.5|186|IX Soft tissue and other extraosseous sarcomas|16237319|2010
10-14|11.5|14.7|13.1|270|IX Soft tissue and other extraosseous sarcomas|20680725|2010
15-19|14.9|18.3|16.5|363|IX Soft tissue and other extraosseous sarcomas|21981324|2010
5-9|8.1|10.8|9.4|191|IX Soft tissue and other extraosseous sarcomas|20331148|2010
<1|11.8|19.8|15.4|61|IX Soft tissue and other extraosseous sarcomas|3951454|2010
1-4|6.2|8.9|7.5|121|IX(a) Rhabdomyosarcomas|16237319|2010
10-14|3.7|5.6|4.6|95|IX(a) Rhabdomyosarcomas|20680725|2010
15-19|3.5|5.3|4.4|96|IX(a) Rhabdomyosarcomas|21981324|2010
5-9|4.4|6.5|5.4|110|IX(a) Rhabdomyosarcomas|20331148|2010
<1|2.5|6.9|4.3|17|IX(a) Rhabdomyosarcomas|3951454|2010
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|16237319|2010
10-14|0.6|1.6|1.0|21|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20680725|2010
15-19|1.3|2.4|1.8|39|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21981324|2010
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20331148|2010
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3951454|2010
1-4|~|~|~|~|IX(c) Kaposi sarcoma|16237319|2010
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20680725|2010
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21981324|2010
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20331148|2010
<1|~|~|~|~|IX(c) Kaposi sarcoma|3951454|2010
1-4|2.1|3.8|2.8|46|IX(d) Other specified soft tissue sarcomas|16237319|2010
10-14|4.9|7.0|5.9|122|IX(d) Other specified soft tissue sarcomas|20680725|2010
15-19|6.2|8.4|7.2|159|IX(d) Other specified soft tissue sarcomas|21981324|2010
5-9|1.9|3.3|2.5|51|IX(d) Other specified soft tissue sarcomas|20331148|2010
<1|2.7|7.2|4.6|18|IX(d) Other specified soft tissue sarcomas|3951454|2010
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|16237319|2010
10-14|1.1|2.2|1.5|32|IX(e) Unspecified soft tissue sarcomas|20680725|2010
15-19|2.3|3.8|3.0|65|IX(e) Unspecified soft tissue sarcomas|21981324|2010
5-9|0.6|1.5|1.0|20|IX(e) Unspecified soft tissue sarcomas|20331148|2010
<1|2.3|6.6|4.0|16|IX(e) Unspecified soft tissue sarcomas|3951454|2010
1-4|~|~|~|~|Not classified by ICCC|16237319|2010
10-14|~|~|~|~|Not classified by ICCC|20680725|2010
15-19|~|~|~|~|Not classified by ICCC|21981324|2010
5-9|~|~|~|~|Not classified by ICCC|20331148|2010
<1|~|~|~|~|Not classified by ICCC|3951454|2010
1-4|8.0|11.1|9.5|154|V Retinoblastoma|16237319|2010
10-14|~|~|~|~|V Retinoblastoma|20680725|2010
15-19|~|~|~|~|V Retinoblastoma|21981324|2010
5-9|0.4|1.3|0.8|16|V Retinoblastoma|20331148|2010
<1|23.6|34.4|28.6|113|V Retinoblastoma|3951454|2010
1-4|18.3|22.8|20.4|332|VI Renal tumors|16237319|2010
10-14|0.7|1.7|1.2|24|VI Renal tumors|20680725|2010
15-19|0.9|1.9|1.3|29|VI Renal tumors|21981324|2010
5-9|4.6|6.7|5.6|114|VI Renal tumors|20331148|2010
<1|10.9|18.7|14.4|57|VI Renal tumors|3951454|2010
1-4|18.2|22.6|20.3|330|VI(a) Nephroblastoma and other nonepithelial renal tumors|16237319|2010
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20680725|2010
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21981324|2010
5-9|4.4|6.4|5.3|108|VI(a) Nephroblastoma and other nonepithelial renal tumors|20331148|2010
<1|10.9|18.7|14.4|57|VI(a) Nephroblastoma and other nonepithelial renal tumors|3951454|2010
1-4|~|~|~|~|VI(b) Renal carcinomas|16237319|2010
10-14|~|~|~|~|VI(b) Renal carcinomas|20680725|2010
15-19|0.6|1.5|1.0|22|VI(b) Renal carcinomas|21981324|2010
5-9|~|~|~|~|VI(b) Renal carcinomas|20331148|2010
<1|~|~|~|~|VI(b) Renal carcinomas|3951454|2010
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|16237319|2010
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20680725|2010
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21981324|2010
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20331148|2010
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3951454|2010
1-4|4.9|7.4|6.0|98|VII Hepatic tumors|16237319|2010
10-14|0.6|1.4|0.9|19|VII Hepatic tumors|20680725|2010
15-19|1.1|2.2|1.5|34|VII Hepatic tumors|21981324|2010
5-9|0.4|1.3|0.8|16|VII Hepatic tumors|20331148|2010
<1|10.3|17.8|13.7|54|VII Hepatic tumors|3951454|2010
1-4|4.6|6.9|5.7|92|VII(a) Hepatoblastoma|16237319|2010
10-14|~|~|~|~|VII(a) Hepatoblastoma|20680725|2010
15-19|~|~|~|~|VII(a) Hepatoblastoma|21981324|2010
5-9|~|~|~|~|VII(a) Hepatoblastoma|20331148|2010
<1|9.8|17.3|13.2|52|VII(a) Hepatoblastoma|3951454|2010
1-4|~|~|~|~|VII(b) Hepatic carcinomas|16237319|2010
10-14|0.5|1.3|0.8|17|VII(b) Hepatic carcinomas|20680725|2010
15-19|0.9|1.9|1.4|30|VII(b) Hepatic carcinomas|21981324|2010
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20331148|2010
<1|~|~|~|~|VII(b) Hepatic carcinomas|3951454|2010
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|16237319|2010
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20680725|2010
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21981324|2010
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20331148|2010
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3951454|2010
1-4|0.8|2.1|1.4|22|VIII Malignant bone tumors|16237319|2010
10-14|11.9|15.1|13.4|277|VIII Malignant bone tumors|20680725|2010
15-19|11.8|14.9|13.2|291|VIII Malignant bone tumors|21981324|2010
5-9|4.3|6.4|5.3|107|VIII Malignant bone tumors|20331148|2010
<1|~|~|~|~|VIII Malignant bone tumors|3951454|2010
1-4|~|~|~|~|VIII(a) Osteosarcomas|16237319|2010
10-14|6.9|9.3|8.0|166|VIII(a) Osteosarcomas|20680725|2010
15-19|6.7|9.1|7.8|172|VIII(a) Osteosarcomas|21981324|2010
5-9|2.1|3.6|2.8|56|VIII(a) Osteosarcomas|20331148|2010
<1|~|~|~|~|VIII(a) Osteosarcomas|3951454|2010
1-4|~|~|~|~|VIII(b) Chondrosarcomas|16237319|2010
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20680725|2010
15-19|0.6|1.5|1.0|21|VIII(b) Chondrosarcomas|21981324|2010
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20331148|2010
<1|~|~|~|~|VIII(b) Chondrosarcomas|3951454|2010
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|16237319|2010
10-14|3.2|5.0|4.0|83|VIII(c) Ewing tumor and related sarcomas of bone|20680725|2010
15-19|2.7|4.3|3.5|76|VIII(c) Ewing tumor and related sarcomas of bone|21981324|2010
5-9|1.5|2.8|2.1|43|VIII(c) Ewing tumor and related sarcomas of bone|20331148|2010
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3951454|2010
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16237319|2010
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20680725|2010
15-19|0.4|1.2|0.7|16|VIII(d) Other specified malignant bone tumors|21981324|2010
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20331148|2010
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3951454|2010
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16237319|2010
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20680725|2010
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21981324|2010
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20331148|2010
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3951454|2010
1-4|2.7|4.5|3.5|57|X Germ cell, trophoblastic tumors & neoplasms of gonads|16237319|2010
10-14|6.9|9.4|8.1|168|X Germ cell, trophoblastic tumors & neoplasms of gonads|20680725|2010
15-19|25.3|29.7|27.4|603|X Germ cell, trophoblastic tumors & neoplasms of gonads|21981324|2010
5-9|2.7|4.4|3.4|70|X Germ cell, trophoblastic tumors & neoplasms of gonads|20331148|2010
<1|17.2|26.6|21.5|85|X Germ cell, trophoblastic tumors & neoplasms of gonads|3951454|2010
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16237319|2010
10-14|2.3|3.9|3.0|63|X(a) Intracranial & intraspinal germ cell tumors|20680725|2010
15-19|1.9|3.3|2.5|55|X(a) Intracranial & intraspinal germ cell tumors|21981324|2010
5-9|1.5|2.8|2.1|42|X(a) Intracranial & intraspinal germ cell tumors|20331148|2010
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3951454|2010
1-4|0.9|2.1|1.4|23|X(b) Malignant extracranial & extragonadal germ cell tumors|16237319|2010
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20680725|2010
15-19|0.8|1.8|1.3|28|X(b) Malignant extracranial & extragonadal germ cell tumors|21981324|2010
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20331148|2010
<1|9.4|16.7|12.7|50|X(b) Malignant extracranial & extragonadal germ cell tumors|3951454|2010
1-4|1.2|2.6|1.8|29|X(c) Malignant gonadal germ cell tumors|16237319|2010
